Date,Open,High,Low,Close,Adj Close,Volume
1993-02-12,44.875000,44.875000,44.593750,44.593750,25.313911,42500
1993-02-16,44.468750,44.468750,43.406250,43.468750,24.675299,374800
1993-02-17,43.468750,43.531250,43.281250,43.437500,24.657557,210900
1993-02-18,43.937500,43.937500,42.812500,43.406250,24.639837,378100
1993-02-19,43.406250,43.562500,43.343750,43.562500,24.728527,34900
1993-02-22,43.687500,43.781250,43.562500,43.718750,24.817217,513600
1993-02-23,43.843750,43.875000,43.468750,43.687500,24.799480,373700
1993-02-24,43.718750,44.250000,43.718750,44.250000,25.118778,26300
1993-02-25,44.218750,44.375000,44.125000,44.343750,25.172005,44500
1993-02-26,44.437500,44.437500,44.187500,44.406250,25.207478,66200
1993-03-01,44.562500,44.562500,44.218750,44.281250,25.136522,66500
1993-03-02,44.312500,44.937500,44.250000,44.937500,25.509048,182400
1993-03-03,45.000000,45.156250,44.937500,45.125000,25.615494,280100
1993-03-04,45.187500,45.187500,44.875000,44.875000,25.473564,89500
1993-03-05,44.937500,45.125000,44.718750,44.750000,25.402611,40000
1993-03-08,44.843750,45.750000,44.843750,45.750000,25.970270,50800
1993-03-09,45.656250,45.687500,45.500000,45.593750,25.881577,169300
1993-03-10,45.593750,45.687500,45.406250,45.687500,25.934795,194400
1993-03-11,45.718750,45.843750,45.500000,45.562500,25.863831,70900
1993-03-12,45.187500,45.218750,44.812500,45.093750,25.597748,643600
1993-03-15,45.062500,45.312500,45.062500,45.312500,25.721924,310800
1993-03-16,45.312500,45.437500,45.312500,45.312500,25.721924,30800
1993-03-17,45.250000,45.250000,44.968750,45.031250,25.562265,21800
1993-03-18,45.218750,45.500000,45.218750,45.312500,25.721924,59300
1993-03-19,45.281250,45.281250,45.031250,45.031250,25.682995,66900
1993-03-22,44.593750,44.875000,44.562500,44.781250,25.540398,183400
1993-03-23,44.906250,44.937500,44.812500,44.875000,25.593876,55200
1993-03-24,44.812500,45.062500,44.593750,44.875000,25.593876,37200
1993-03-25,44.906250,45.250000,44.843750,45.156250,25.754276,110100
1993-03-26,45.125000,45.156250,44.875000,44.906250,25.611700,101500
1993-03-29,44.937500,45.312500,44.937500,45.093750,25.718645,87100
1993-03-30,45.156250,45.218750,45.093750,45.218750,25.789936,56000
